agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,translated_page_slugs,is_state_channel,dshs_client_households,evidence_url,capture_date,quality_verdict,notes,assigned_by,assignment_method
food_auburn,The Auburn Food Bank,food,Acholi,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Aguacateco,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Akateko,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Albanian,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,American Sign Language,0,0,,False,none,0,,False,298,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Amharic,0,0,,False,none,0,,False,1615,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Arabic,0,0,,False,none,0,,False,2447,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Armenian,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Ayula-Bambara,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Azerbaijani,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
food_auburn,The Auburn Food Bank,food,Bambara,0,0,,False,none,0,,False,,https://www.theauburnfoodbank.org,2026-09-06,,"No translation mechanism and no translated documents found on the site | Food bank. Groceries can be collected without a shared language, so a web-only assessment understates this sector more than any other. Read the tier as a measure of published information, not of whether someone is fed",EH,derived
